Year,Total Reviews
2006,12
2007,42
2008,204
2009,328
2010,377
2011,655
2012,1504
2013,1854
2014,2293
2015,3083
2016,2995
2017,3588
2018,3831
2019,5237
2020,7779
2021,5958
